16 16
-1 -1 -1 241 241 -1 -1 -1 -1 -1 -1 241 241 -1 -1 -1 
-1 -1 -1 1 243 1 -1 -1 -1 -1 243 243 41 -1 -1 -1 
-1 -1 241 241 241 241 -1 -1 -1 -1 241 241 241 -1 -1 -1 
-1 -1 41 41 243 243 -1 -1 -1 81 84 81 243 243 -1 -1 
-1 -1 241 241 241 241 241 -1 -1 241 241 241 241 241 -1 -1 
-1 -1 121 124 121 243 243 -1 -1 161 164 161 243 243 -1 -1 
-1 -1 241 241 241 241 241 241 241 241 241 241 241 241 -1 -1 
-1 -1 -1 201 204 201 243 243 1 4 1 243 243 -1 -1 -1 
-1 -1 241 241 241 241 241 241 241 241 241 241 241 241 -1 -1 
-1 41 44 41 243 243 81 84 81 243 243 121 124 121 243 -1 
-1 241 241 241 241 241 241 -1 -1 241 241 241 241 241 241 -1 
-1 243 161 164 161 243 -1 -1 -1 243 201 204 201 243 243 -1 
241 241 241 241 241 241 -1 -1 -1 -1 241 241 241 241 241 -1 
1 4 1 243 243 -1 -1 -1 -1 -1 -1 41 44 41 243 243 
241 241 241 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 241 241 -1 
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 
