25 9
4 1 241 241 241 241 241 41 44 
1 241 241 241 241 241 241 241 41 
241 241 241 241 241 241 241 241 241 
241 241 241 241 241 241 241 241 241 
241 241 241 241 161 241 241 241 241 
241 241 241 241 164 241 241 241 241 
241 241 241 241 161 241 241 241 241 
81 241 241 241 241 241 241 241 121 
84 241 241 241 241 241 241 241 124 
81 241 241 241 241 241 241 241 121 
241 241 241 241 161 241 241 241 241 
241 241 241 241 164 241 241 241 241 
241 241 241 241 241 241 241 241 241 
241 241 241 241 201 241 241 241 241 
121 241 241 241 204 241 241 241 81 
124 241 241 241 241 241 241 241 84 
121 241 241 241 241 241 241 241 81 
241 241 241 241 241 241 241 241 241 
241 241 241 241 201 241 241 241 241 
241 241 241 241 204 241 241 241 241 
241 241 241 241 201 241 241 241 241 
241 241 241 241 241 241 241 241 241 
41 241 241 241 241 241 241 241 1 
44 241 241 241 241 241 241 241 4 
-1 41 -1 241 -1 241 -1 1 -1 
