20 20
1 4 1 243 243 41 44 41 243 243 81 84 81 243 243 121 124 121 243 243 
241 241 241 241 241 241 241 241 241 241 241 241 241 241 241 241 241 241 241 241 
161 164 161 243 243 201 204 201 -1 -1 243 243 1 4 1 243 243 41 44 41 
241 241 241 241 241 241 241 -1 241 241 -1 241 241 241 241 241 241 241 241 241 
243 243 81 84 81 243 -1 121 124 -1 121 -1 121 121 243 161 164 161 243 243 
241 241 241 241 241 -1 241 241 -1 241 -1 241 241 241 241 241 241 241 241 241 
201 204 201 243 1 1 4 -1 1 -1 243 243 -1 41 44 41 243 243 81 84 
81 241 241 241 241 241 241 241 -1 241 241 -1 241 241 -1 241 241 241 241 241 
81 81 243 -1 121 124 -1 121 -1 -1 -1 243 243 -1 161 -1 161 164 161 243 
241 -1 241 241 -1 241 241 -1 241 241 241 241 241 241 -1 241 -1 241 241 241 
204 -1 204 -1 201 -1 243 -1 1 1 4 -1 -1 1 243 -1 243 -1 41 44 
41 -1 241 241 -1 241 -1 -1 241 241 241 -1 241 241 241 241 -1 -1 241 241 
41 243 -1 81 81 -1 81 84 -1 -1 243 243 -1 121 124 121 243 243 161 164 
161 241 241 -1 241 241 241 -1 241 241 241 241 241 -1 241 241 241 241 241 241 
161 243 243 201 -1 201 -1 201 243 -1 243 -1 1 4 -1 1 243 243 41 41 
241 241 241 241 241 -1 241 241 -1 241 -1 241 241 241 241 241 241 241 241 241 
41 243 243 81 84 81 243 -1 243 -1 121 124 -1 121 121 243 161 164 161 243 
241 241 241 241 241 241 241 241 -1 241 241 -1 241 241 241 241 241 241 241 241 
243 201 204 201 243 1 243 1 -1 -1 -1 1 243 243 41 44 41 243 243 81 
81 241 241 241 241 241 241 241 241 241 241 241 241 241 241 241 241 241 241 241 
